INFO  - 2014-10-27 00:25:22.717; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-10-27 00:25:22.732; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-10-27 00:25:22.826; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@1f2e10e4 main
INFO  - 2014-10-27 00:25:22.873; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-10-27 00:25:22.873; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-10-27 00:25:22.873; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-10-27 00:25:22.904; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-10-27 00:25:22.919; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-10-27 00:25:22.997; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-10-27 00:25:22.997; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@1f2e10e4 main{StandardDirectoryReader(segments_6b:795 _5p(4.3):C258)}
INFO  - 2014-10-27 00:25:23.091; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=78 
INFO  - 2014-10-27 00:25:23.091; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-10-27 00:25:23.091; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-10-27 00:25:23.091; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-10-27 00:25:23.091; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@1f2e10e4 main{StandardDirectoryReader(segments_6b:795 _5p(4.3):C258)}
INFO  - 2014-10-27 00:25:23.091; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-10-27 00:25:23.107; org.apache.solr.servlet.SolrDispatchFilter; user.dir=C:\solr\example
INFO  - 2014-10-27 00:25:23.107; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
WARN  - 2014-10-27 00:25:23.138; org.eclipse.jetty.util.component.AbstractLifeCycle; FAILED SocketConnector@0.0.0.0:8983: java.net.BindException: Address already in use: JVM_Bind
java.net.BindException: Address already in use: JVM_Bind
	at java.net.DualStackPlainSocketImpl.bind0(Native Method)
	at java.net.DualStackPlainSocketImpl.socketBind(Unknown Source)
	at java.net.AbstractPlainSocketImpl.bind(Unknown Source)
	at java.net.PlainSocketImpl.bind(Unknown Source)
	at java.net.ServerSocket.bind(Unknown Source)
	at java.net.ServerSocket.<init>(Unknown Source)
	at java.net.ServerSocket.<init>(Unknown Source)
	at org.eclipse.jetty.server.bio.SocketConnector.newServerSocket(SocketConnector.java:96)
	at org.eclipse.jetty.server.bio.SocketConnector.open(SocketConnector.java:85)
	at org.eclipse.jetty.server.AbstractConnector.doStart(AbstractConnector.java:316)
	at org.eclipse.jetty.server.bio.SocketConnector.doStart(SocketConnector.java:156)
	at org.eclipse.jetty.util.component.AbstractLifeCycle.start(AbstractLifeCycle.java:64)
	at org.eclipse.jetty.server.Server.doStart(Server.java:288)
	at org.eclipse.jetty.util.component.AbstractLifeCycle.start(AbstractLifeCycle.java:64)
	at org.eclipse.jetty.xml.XmlConfiguration$1.run(XmlConfiguration.java:1266)
	at java.security.AccessController.doPrivileged(Native Method)
	at org.eclipse.jetty.xml.XmlConfiguration.main(XmlConfiguration.java:1189)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
	at java.lang.reflect.Method.invoke(Unknown Source)
	at org.eclipse.jetty.start.Main.invokeMain(Main.java:472)
	at org.eclipse.jetty.start.Main.start(Main.java:620)
	at org.eclipse.jetty.start.Main.main(Main.java:95)
WARN  - 2014-10-27 00:25:23.153; org.eclipse.jetty.util.component.AbstractLifeCycle; FAILED org.eclipse.jetty.server.Server@1e04fa0a: java.net.BindException: Address already in use: JVM_Bind
java.net.BindException: Address already in use: JVM_Bind
	at java.net.DualStackPlainSocketImpl.bind0(Native Method)
	at java.net.DualStackPlainSocketImpl.socketBind(Unknown Source)
	at java.net.AbstractPlainSocketImpl.bind(Unknown Source)
	at java.net.PlainSocketImpl.bind(Unknown Source)
	at java.net.ServerSocket.bind(Unknown Source)
	at java.net.ServerSocket.<init>(Unknown Source)
	at java.net.ServerSocket.<init>(Unknown Source)
	at org.eclipse.jetty.server.bio.SocketConnector.newServerSocket(SocketConnector.java:96)
	at org.eclipse.jetty.server.bio.SocketConnector.open(SocketConnector.java:85)
	at org.eclipse.jetty.server.AbstractConnector.doStart(AbstractConnector.java:316)
	at org.eclipse.jetty.server.bio.SocketConnector.doStart(SocketConnector.java:156)
	at org.eclipse.jetty.util.component.AbstractLifeCycle.start(AbstractLifeCycle.java:64)
	at org.eclipse.jetty.server.Server.doStart(Server.java:288)
	at org.eclipse.jetty.util.component.AbstractLifeCycle.start(AbstractLifeCycle.java:64)
	at org.eclipse.jetty.xml.XmlConfiguration$1.run(XmlConfiguration.java:1266)
	at java.security.AccessController.doPrivileged(Native Method)
	at org.eclipse.jetty.xml.XmlConfiguration.main(XmlConfiguration.java:1189)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
	at java.lang.reflect.Method.invoke(Unknown Source)
	at org.eclipse.jetty.start.Main.invokeMain(Main.java:472)
	at org.eclipse.jetty.start.Main.start(Main.java:620)
	at org.eclipse.jetty.start.Main.main(Main.java:95)
INFO  - 2014-10-27 00:26:04.326; org.eclipse.jetty.server.Server; jetty-8.1.8.v20121106
INFO  - 2014-10-27 00:26:04.357; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\solr\example\contexts at interval 0
INFO  - 2014-10-27 00:26:04.420; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\solr\example\contexts\solr-jetty-context.xml
INFO  - 2014-10-27 00:26:05.496; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-10-27 00:26:05.559; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/C:/solr/example/solr-webapp/webapp/},C:\solr\example/webapps/solr.war
INFO  - 2014-10-27 00:26:05.559; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/C:/solr/example/solr-webapp/webapp/},C:\solr\example/webapps/solr.war
